
значение показателя за год
;2016;
Сельское поселение;15,7;9,8;9,8;9,8;9,8;9,8;9,8;11,1;11,1;10,6;10,4;7,3;7,3;7,3;7,3;;;
Серёгово;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;37;21,96;22,38;22,38;22,38;22,38;22,38;22,38;22,38;33,8;23,3;33,8;33,8;36,2;36,2;;;
Тракт;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;34,9;29,3;32,2;24,4;24,4;31,9;39,8;39,8;39,8;39,8;39,8;39,8;39,8;35,5;35,5;;;
Туръя;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;20,2;15,93;15,93;15,93;15,93;15,93;16,5;16,5;16,5;;16,5;16,5;22,1;23,1;23,1;;;
Чиньяворык;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;29,6;27,8;27,8;27,8;27,8;27,8;27,8;27,8;27,8;27,8;27,8;22,9;22;22;21,7;;;
Шошка.;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;24,8;21,3;21,3;21,3;21,3;21,3;21,3;21,3;21,3;21,3;21,3;20,9;20,9;20,4;20,4;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Муниципальный район;220,5;218,9;221,5;224,2;224,6;225,5;227,23;230,24;238,6;228;228,9;226,7;225,8;228,1;233,9;234,11;231,74;
Грива;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;9;8,7;8,7;12,04;12,04;8,24;12,04;12,04;15,8;9,2;9,2;9,3;9,3;9,3;9,5;;;
Кажым;;;;;;;;;;;;;;;;;;
