
значение показателя за год
;2016;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;113,8;115,1;115,6;109,3;109,3;109,3;84,1;84,7;84,3;84;127,8;129;129;129;129;;;
Вежайка;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;8,7;8,7;8,7;8,7;8,7;8,7;8,7;8,7;8,7;8,7;8,7;8,7;8;8;5,2;;;
Гам;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;26;26,3;26,3;26,3;26,3;26,3;22,8;24,58;24,58;28,5;28,5;28,5;28,5;28,6;28,6;;;
Донаёль;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;9,9;9,9;2;2;2;2;11,7;11,7;11,6;11,6;11,6;10,8;12,2;12,5;12,5;;;
Илья-Шор;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;1,9;1,9;1,9;1,9;1,9;1,9;4,6;4,6;4,6;4,6;11,8;11,8;11,8;11,8;12,1;;;
Кожмудор;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;39,8;40,2;39,1;39,2;39,2;39,2;39,2;37,9;37,8;37,8;55,7;55,7;55,7;55,8;55,8;;;
Мадмас;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;10;10,5;26,1;26,1;26,1;26,1;23,7;23,7;23,7;23,7;23,7;23,7;23,6;23,6;23,6;;;
Межег;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;19,7;20,1;19,7;19,7;19,7;19,7;21,3;21,3;21,3;21,3;22,3;22,3;22,3;22,3;22,3;;;
Студенец;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;23,1;23,7;29,1;29,1;29,1;29,1;20;20,3;20,5;20,7;28;28,9;28,2;28,2;28,2;;;
Усть-Вымь;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;34,2;35,2;35,2;35,2;35,2;35,2;35,2;35,2;35,2;35,3;35,3;36;36;36;39,6;;;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Муниципальный район;667,6;673,5;681,1;681,8;684,34;679,6;684,1;682,4;689,2;696;683,3;701,9;710,8;712,9;719,1;721,22;722,92;
Аныб (до 1 января 2018г);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;8,4;8,3;8,3;8,1;8,2;8,2;8,2;8,2;8,2;8,2;8,2;8,2;;;;;;
Вольдино;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;21,7;21,7;22;22;22,3;22,4;22,5;22,6;22,8;22,9;21,3;21,3;21;21,5;21,5;;;
Нижний Воч;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;12,3;12,3;12,4;12,5;12,5;15,4;15,4;15,4;15,4;15,4;15,4;15,4;15,2;15,2;15,2;;;
Диасёръя;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;10,7;10,9;10,9;10,8;10,8;10,3;10,4;10,3;10,4;10,4;10,4;10,4;10,4;10,4;10,5;;;
Деревянск;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;25,7;25,8;25,7;25,3;25,3;25;25;25;24,8;24,8;23,8;23,8;23,7;23,7;23,6;;;
Дзёль (до 1 января 2020 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;5,3;5,3;5,3;5,3;5,3;5,3;5,3;5,3;5,3;5,3;5,3;5,3;5,3;6,7;;;;
Дон;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;17,7;17,7;17,7;17,8;17,8;17,8;17,7;17,7;17,7;17,7;17,8;18,2;18,2;18,2;18,2;;;
Кебанъёль;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;36,8;36,4;39,6;39,6;39,6;39,6;39,6;39,6;39,6;39,6;39,6;39,6;37,8;37,9;37,9;;;
Керчомъя;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;36,4;36,7;36,6;36,7;36,7;36,9;36,9;36,9;36,9;36,9;36,9;36,9;36,9;36,9;36,9;;;
Кужба;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;25,8;26,3;26,9;26,8;26,8;26,8;26,4;25,8;25,7;25,6;25,4;25,4;25,3;25,9;25,6;;;
Мыёлдино;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;14,5;14,4;14,4;14,4;14,4;14,4;14,4;14,4;14,4;14,4;12,7;11,1;12,7;12,4;12,4;;;
Носим (до 1 января 2018г);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;19,2;19,3;19,3;19;19;19;19,1;19,1;19,1;19,3;19,3;19,3;;;;;;
Парч;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;6,3;6,3;6,3;6;5,84;5,84;5,84;5,84;5,9;5,9;5,9;5,9;5,9;6;6;;;
Пожег;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;46,2;48,2;48,5;48,8;48,9;49,1;49,6;49,6;50;50,1;49,9;50;49,8;49,7;49,7;;;
Помоздино;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;91,5;92;92,6;93;94,3;93,7;94,2;94,8;95,3;95,6;95,8;95,8;96,2;96;96,6;;;
Зимстан;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;45,8;45,8;45,8;45,9;45,9;41,96;41,96;41,96;41,96;39,4;39,4;39,4;39,4;39,4;46,1;;;
Руч;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;19,8;20,2;20,1;20,2;20,1;20,3;20,4;20,4;20,4;20,4;20,4;20,4;28,9;29,2;28,9;;;
Тимшер;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;33,1;32,7;32,8;32,8;32,8;32,8;32,7;32,7;32,7;32,7;34,9;34,9;34,9;34,9;34,9;;;
Усть-Кулом;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;112,6;114,6;115,8;117,1;118,1;114,8;118,5;118,5;118,5;118,5;118,5;118,5;118,5;166,4;166,4;;;
Усть-Нем;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;21,4;21,7;23,2;22,7;22,7;22,7;22,5;22,3;22,3;21,5;21,2;21,2;21,2;21,2;18,7;;;
Югыдъяг;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;56,4;56,9;56,9;57;57;57,3;57,5;57,5;57,6;56,7;56,4;56,4;56,6;56,6;56,6;;;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Муниципальный район;339,3;348,8;289,97;301,49;302,04;348,4;352,8;354,8;358,9;362,42;364,2;363,3;363,6;367,9;370;370,09;370,62;
Среднее Бугаево;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;8,2;7,7;7,5;8,1;8,1;7,9;7,9;7,9;7,9;7,9;8;7,9;7,9;7,9;7,9;;;
Ёрмица;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;10,7;12,5;11,1;13,1;13,1;11,4;12,4;12,3;12,3;12,3;12,4;12,4;12,4;12,2;12,2;;;
Коровий Ручей;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;35,2;35,2;26,86;36,1;36,1;39,7;40,4;41;41,1;41,1;41,2;41,3;41,4;42,7;42,9;;;
Нерица;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;6,8;6,7;6,6;6,6;5,3;6,6;6,6;6,6;6,6;6,6;6,6;6,6;6,6;6,3;6,6;;;
Новый Бор;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;24,4;24,5;24,5;24,7;24,7;25,3;25,1;25,1;25,1;25,1;25,1;25,1;25,1;25,1;25,1;;;
Окунев Нос;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;17,4;16,5;16,5;17,8;17,8;17,9;17,82;17,8;17,8;17,8;17,8;17,8;17,8;17,8;17,8;;;
Замежная;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;47,4;47,4;41,2;41,3;41,4;41,9;41,1;41,7;41,9;44,9;44,9;45;42,7;43,2;43,4;;;
Уег;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;9,8;9,8;9,8;6,3;6,3;9,5;9,5;9,5;9,5;9,5;9,5;8,2;8,2;8,2;8,1;;;
Усть-Цильма;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;127,2;97,57;98,34;99,68;101,17;137,9;138,9;139,5;141,9;142;143,3;143,6;146;149,1;150,1;;;
Хабариха;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;10;10;10;10;10,05;10,9;11,1;11,1;11,2;11,3;11,5;11,5;11,6;11,7;11,7;;;
Трусово;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;42,2;;37,57;37,81;38,02;39,4;42;42,3;43,6;43,9;43,9;43,9;43,9;43,7;43,7;;;
Городские округа Республики Коми;;;;;;;;;;;;;;;;;;
Сыктывкар;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;5173,1;5262,1;5960,3;6522,49;6542,29;5436,1;5516,6;5582,4;5914,7;5887,8;6173,5;6334,7;6484,1;6412,7;6485,5;6732,49;6815,82;
Воркута (до 1 января 2025 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;2946,8;2848,5;2782,9;2592,5;2531,52;2746,5;2746,5;2681,4;2688,8;2685,5;2683,5;2677,7;2381,6;2378,5;2378,4;2378,42;2378,03;
Вуктыл (до 1 января 2024 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;382,5;382,7;380,7;380,7;380,7;381,38;380,68;
Инта (до 1 января 2025 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;1097;1032;971;971;885,57;992,8;906,8;906,9;956,7;873;954,4;969;955,1;950,5;951,1;954,52;951,12;
Усинск (до 1 января 2024 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;1041,5;1031,7;1043;1037,5;1040,3;1043,2;930,46;917,3;1041,1;931,5;1549,2;1109,3;1109,3;996,1;1020,2;1020,82;1022,7;
Ухта (до 1 марта 2024 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;2735,7;2725;2630,8;2638,2;2646,9;2658,6;2667,4;2684,3;2775,1;2633,1;2735,7;2737,4;2691,7;2693;2697,8;2759,92;2760,12;
