
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Поляна  (до 1 янвря 2013 года);;;;;;;;;;;;;
Сельское поселение;2;2;3;2;2;2;2;;;;;;
Усть-Ухта  (до 1 янвря 2013 года);;;;;;;;;;;;;
Сельское поселение;3;3;3;3;3;3;3;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;
Муниципальный район;41;26;26;22;22;21;3;3;4;19;16;3;
Выльгорт;;;;;;;;;;;;;
Сельское поселение;3;3;3;4;4;4;3;3;3;1;1;3;
Зеленец;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;;;1;1;;
Лэзым;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;;;1;1;;
Мандач;;;;;;;;;;;;;
Сельское поселение;2;2;2;1;1;1;;;;1;;;
Нювчим;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;1;1;1;1;;
Озёл;;;;;;;;;;;;;
Сельское поселение;2;2;2;1;1;1;;;;;1;;
Пажга;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;;;2;;
Палевицы;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;1;;;;;1;;
Слудка;;;;;;;;;;;;;
Сельское поселение;4;4;4;1;1;1;;;;;;;
Часово;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;;;2;;
Шошка;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;;2;2;1;;
Ыб;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;;;;;
Яснэг;;;;;;;;;;;;;
Сельское поселение;3;3;3;3;3;3;;;;;;;
Муниципальный район Сысольский;;;;;;;;;;;;;
Муниципальный район Сысольский;;;;;;;;;;;;;
Муниципальный район;38;22;21;21;21;21;20;1;1;1;1;1;
Визинга;;;;;;;;;;;;;
Сельское поселение;6;4;4;4;4;4;3;1;1;1;1;1;
Визиндор;;;;;;;;;;;;;
Сельское поселение;3;2;2;2;2;2;2;;;;;;
Вотча;;;;;;;;;;;;;
Сельское поселение;2;1;1;1;1;1;1;;;;;;
Гагшор;;;;;;;;;;;;;
Сельское поселение;4;2;2;2;2;2;2;;;;;0;
Заозерье;;;;;;;;;;;;;
Сельское поселение;4;2;2;2;2;2;2;;;;;0;
Куниб;;;;;;;;;;;;;
Сельское поселение;5;3;2;2;2;2;2;;;;0;0;
Куратово;;;;;;;;;;;;;
