
значение показателя за год
;269;295;633;588;567;552;387;637;409;367;221;;;;;287;
Северные олени;;;;;;;;;;;;;;;;;;
;7812;7952;7558;7929;8235;8400;8698;8639;8914;9128;10352;10114;8223;9072;8943;8807;
Овцы и  козы;;;;;;;;;;;;;;;;;;
;753;703;834;867;829;694;626;704;746;726;635;664;635;672;644;627;
Производство продуктов животноводства, тонна;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Скот и птица на убой (в живом весе);;;;;;;;;;;;738;;574;607,57;498,957;
Скот и птица в живой массе;1054;851;892;801;910;894;778;679;700;660;675;;;;;;
Молоко;5842;5695;5733;5851;5588;4717;4369;4373;3951;4041;4049;4012;;3923;4078,27;3851,4;
Яйца, тысяча штук;41;38;57;86;192;77;91;236;345;511;413;222;170;201;233,38;178,6;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;;;;;;
Продукция сельского хозяйства (в фактически действовавших ценах), тысяча рублей;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;121891;132044;184622;184715;168671;160292;161071;183072;173832;171187;171275;148830;193783;201719;199646;206060;
Продукция растениеводства (в фактически действовавших ценах), тысяча рублей;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;45294;39947;82582;96404;55796;66396;56450;82638;72058;55417;66362;55763;88954;88416;73936;81698;
Продукция животноводства (в фактически действовавших ценах), тысяча рублей;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;76597;92097;102040;88311;112876;93896;104621;100435;101774;115770;104913;93068;104828;113303;125710;124362;
Поголовье скота и птицы на конец года, голова;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Крупный рогатый скот;;;;;;;;;;;;;;;;;;
;1617;1668;1617;1729;1822;1841;1646;1450;1569;1494;1331;1319;1447;1422;1117;1192;
Коровы;;;;;;;;;;;;;;;;;;
;725;798;727;826;790;794;752;710;761;731;724;716;745;770;705;650;
Свиньи;;;;;;;;;;;;;;;;;;
;1562;1640;1720;1275;1030;865;518;932;630;540;513;674;617;300;195;120;
Овцы;;;;;;;;;;;;;;;;;;
;621;479;413;292;285;319;521;423;242;194;261;;;;;;
Козы;;;;;;;;;;;;;;;;;;
;257;257;227;235;186;168;128;166;134;228;176;;;;;;
Птица;;;;;;;;;;;;;;;;;;
;1296;1183;1617;2847;2809;2421;1612;2280;2477;3275;3413;;;;;834;
Лошади;;;;;;;;;;;;;;;;;;
;97;90;70;57;51;57;32;31;28;28;27;21;16;16;13;9;
Кролики;;;;;;;;;;;;;;;;;;
