
значение показателя за год
;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Муниципальный район Удорский;305;308;282;313;296;290;284;222;214;190;158;129;134;114;119;115;
Городское поселение;;;;;;;;;;;;;;;;;;
Благоево;;;;53;43;46;42;31;40;32;18;25;31;11;25;16;
Междуреченск;;;;26;22;17;20;17;19;17;15;8;11;9;11;7;
Усогорск;;;;68;76;86;74;62;58;57;57;45;42;43;48;47;
Сельское поселение;;;;;;;;;;;;;;;;;;
Буткан;;;;6;5;3;7;6;7;2;2;2;5;0;1;0;
Важгорт;;;;7;8;11;16;8;6;8;4;4;4;4;4;6;
Вожский;;;;24;31;30;20;9;9;9;7;4;1;2;0;1;
Глотово;;;;8;15;6;10;6;8;8;5;0;5;3;3;1;
Ёдва;;;;17;8;13;11;17;8;2;7;6;3;9;0;4;
Ёртом (до 1 января 2018г);;;;8;9;7;4;3;1;1;;;;;;;
Кослан;;;;56;43;29;47;42;39;35;30;22;23;22;21;27;
Большая Пучкома;;;;5;4;5;1;2;1;1;2;1;0;1;0;3;
Большая Пысса;;;;15;7;8;10;8;8;6;2;2;1;2;3;1;
Чернутьево;;;;7;13;16;11;7;1;5;5;5;4;7;1;2;
Чим;;;;11;5;9;9;2;5;5;2;5;2;1;0;0;
Чупрово;;;;2;7;4;2;2;4;2;2;0;2;0;2;0;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Вымский;432;421;347;347;379;391;393;326;337;262;226;231;242;201;196;197;
Городское поселение;;;;;;;;;;;;;;;;;;
Микунь;;;;98;114;119;124;91;87;80;85;62;77;63;65;68;
Жешарт;;;;104;112;111;114;109;104;76;60;83;68;59;55;64;
Сельское поселение;;;;;;;;;;;;;;;;;;
Айкино;;;;41;58;53;58;64;65;47;38;41;44;33;42;25;
Вежайка;;;;6;4;2;4;1;4;1;1;1;0;0;1;1;
Гам;;;;17;10;15;7;4;6;3;4;6;4;7;3;5;
Донаёль;;;;6;6;7;7;7;6;7;6;3;4;2;3;2;
Илья-Шор;;;;8;8;13;12;9;5;4;2;1;7;5;2;5;
Кожмудор;;;;14;17;9;14;12;18;8;4;8;9;6;7;5;
Мадмас;;;;13;16;16;19;4;7;7;8;6;7;6;2;4;
Межег;;;;14;14;15;11;5;10;9;4;11;8;5;7;4;
Студенец;;;;9;14;11;12;7;10;9;5;4;8;7;4;6;
Усть-Вымь;;;;17;6;20;11;13;15;11;9;5;6;8;5;8;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Куломский;488;527;484;507;577;561;573;420;483;422;327;319;306;267;221;239;
Сельское поселение;;;;;;;;;;;;;;;;;;
Аныб (до 1 января 2018г);;;;7;6;6;3;1;3;3;;;;;;;
Вольдино;;;;13;19;14;9;16;21;14;5;11;11;5;7;2;
Нижний Воч;;;;21;26;23;16;11;17;15;14;13;15;9;3;11;
Диасёръя;;;;4;15;10;11;8;9;5;5;2;10;4;2;4;
Деревянск;;;;12;16;20;16;12;15;9;7;4;5;8;5;5;
Дзёль (до 1 января 2020 года);;;;5;4;2;1;2;4;4;2;1;;;;;
Дон;;;;14;16;15;16;21;15;14;10;17;15;9;6;11;
Кебанъёль;;;;38;31;33;42;24;26;27;19;19;11;11;15;11;
Керчомъя;;;;16;24;25;21;22;22;25;15;18;11;8;9;5;
Кужба;;;;19;18;25;24;16;16;14;21;17;13;13;8;14;
Мыёлдино;;;;10;16;10;8;3;3;5;0;4;8;7;2;5;
Носим (до 1 января 2018г);;;;21;15;18;15;9;14;16;;;;;;;
Крутоборка;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;
Парч;;;;8;5;5;9;4;5;6;7;2;3;3;0;1;
Пожег;;;;39;37;45;45;26;33;26;29;19;26;19;13;16;
Помоздино;;;;46;60;57;80;50;58;44;32;34;37;23;32;27;
Зимстан;;;;35;39;32;39;15;26;18;22;19;16;13;13;9;
Руч;;;;15;24;19;21;13;17;10;10;13;5;9;9;14;
Тимшер;;;;23;18;28;22;14;19;16;19;17;13;12;9;12;
Усть-Кулом;;;;94;114;84;102;101;112;90;78;71;79;82;51;65;
