
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;1;1;1;1;1;1;1;
Услуги бань и душевых;;;;;;;;;;;;1;1;1;1;1;1;1;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;26;26;26;26;26;26;26;26;26;26;26;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;4;2;1;1;1;1;1;1;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
Вожаёль (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;;;8;8;8;8;8;;;;;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;;;;;;2;;;;;;;;;;;;
Иоссер;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;1;1;1;1;;;;
Услуги бань и душевых;;;;;;;;;;;;1;1;1;1;;;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;35;35;35;35;35;35;35;35;35;15;15;;;;;;;;
Тракт;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;1;1;1;1;;;;
Услуги бань и душевых;;;;;;;;;;;;1;1;1;1;;;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;30;30;30;50;50;50;50;59;51;16;16;;;;;;;;
Чиньяворык;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;32;32;32;32;32;32;32;32;32;;;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;;1;1;1;1;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;2;3;3;3;4;4;4;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;0;0;0;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;18;19;18;19;20;19;22;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;1;;;;;;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;2;2;2;2;2;1;1;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;0;0;0;;;;;
Изготовление и ремонт мебели;;;;;;;;;;;;0;1;1;1;1;1;1;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;1;1;1;1;1;1;1;
Услуги бань и душевых;;;;;;;;;;;;1;1;1;1;1;1;;
Услуги парикмахерских;;;;;;;;;;;;9;9;8;9;8;8;11;
Услуги фотоателье;;;;;;;;;;;;1;1;1;1;1;1;1;
Ритуальные услуги;;;;;;;;;;;;1;1;1;1;1;1;1;
Прочие виды бытовых услуг;;;;;;;;;;;;0;0;0;;1;1;2;
Число приемных пунктов бытового обслуживания  населения, принимающих заказы от населения на оказание услуг (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Ремонт и строительство жилья и других построек;;;;;;;;;;;;0;0;0;;;;;
Число приемных пунктов бытового обслуживания, принимающих заказы от населения на оказание услуг;;;;;;;;;;;;0;0;0;;;;;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;0;0;0;;;;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;0;0;0;;;;;
Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонт и изготовление металлоизделий;;;;;;;;;;;;0;0;0;;;;;
Изготовление и ремонт мебели;;;;;;;;;;;;0;0;0;;;;;
Услуги фотоателье;;;;;;;;;;;;0;0;0;;;;;
Ритуальные услуги;;;;;;;;;;;;0;0;0;;;;;
Прочие виды бытовых услуг;;;;;;;;;;;;0;0;0;;;;;
Объем платных услуг населению (без субъектов малого предпринимательства), тысяча рублей;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;62254,6;54326,1;53074,7;52375,5;55139,4;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;15;15;16;16;16;16;16;16;16;16;16;;;;;;;;
Установленная мощность в 8-часовую смену прачечных, килограмм сухого белья, килограмм;;;;;;;;;;;;;;;;;;;
;;22;19;14;19;28;28;28;;;;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
